checkpoint_label,checkpoint,sample,split,precision,recall,dice
round2_epoch_025,runs\unet_finetune_smoke_256_round2\epoch_025.pt,YOU_29_y0512_x1024,test,0.801712,0.945859,0.867841
round2_epoch_025,runs\unet_finetune_smoke_256_round2\epoch_025.pt,YOU_29_y0768_x0512,train,0.888405,0.928680,0.908096
round2_epoch_025,runs\unet_finetune_smoke_256_round2\epoch_025.pt,YOU_29_y0768_x0768,val,0.821017,0.914646,0.865306
round2_epoch_025,runs\unet_finetune_smoke_256_round2\epoch_025.pt,YOU_29_y1536_x0000,train,0.884167,0.905899,0.894901
round2_epoch_025,runs\unet_finetune_smoke_256_round2\epoch_025.pt,YOU_31_y0512_x0768,train,0.959530,0.940751,0.950047
round2_epoch_025,runs\unet_finetune_smoke_256_round2\epoch_025.pt,YOU_33_y2048_x1024,train,0.860989,0.903015,0.881501
round2_epoch_030,runs\unet_finetune_smoke_256_round2\epoch_030.pt,YOU_26_y0000_x1024,train,0.963001,0.963329,0.963165
round2_epoch_030,runs\unet_finetune_smoke_256_round2\epoch_030.pt,YOU_26_y0256_x0000,train,0.936068,0.926724,0.931373
round2_epoch_030,runs\unet_finetune_smoke_256_round2\epoch_030.pt,YOU_26_y0256_x1536,train,0.958639,0.937087,0.947741
round2_epoch_030,runs\unet_finetune_smoke_256_round2\epoch_030.pt,YOU_26_y0768_x0512,test,0.668601,0.989530,0.798008
round2_epoch_030,runs\unet_finetune_smoke_256_round2\epoch_030.pt,YOU_26_y1024_x0256,train,0.964753,0.945007,0.954778
round2_epoch_030,runs\unet_finetune_smoke_256_round2\epoch_030.pt,YOU_26_y1024_x1024,train,0.977712,0.935197,0.955982
round2_epoch_030,runs\unet_finetune_smoke_256_round2\epoch_030.pt,YOU_26_y1024_x1280,val,0.868364,0.912188,0.889737
round2_epoch_030,runs\unet_finetune_smoke_256_round2\epoch_030.pt,YOU_26_y1024_x1792,train,0.944531,0.944367,0.944449
round2_epoch_030,runs\unet_finetune_smoke_256_round2\epoch_030.pt,YOU_26_y1280_x0512,test,0.885709,0.932080,0.908303
round2_epoch_030,runs\unet_finetune_smoke_256_round2\epoch_030.pt,YOU_26_y1792_x1792,val,0.850203,0.941309,0.893439
round2_epoch_030,runs\unet_finetune_smoke_256_round2\epoch_030.pt,YOU_27_y0512_x1024,train,0.932788,0.957202,0.944837
